address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"3C, 65 E India Row, Boston, MA, 02110",Boston,Boston,MA,42.35767,-71.0505,1,1701821892.496502,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\11.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
", 4 Blackwell Street, Boston, MA, 02122",Boston,Boston,MA,42.28788,-71.04728,1,1701822141.8835008,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\28.geojson.gz,C,0.2346445824706694,1.1654302865081654,3137.5521030693444,3.0,-12622.0,0.9010654490106544,88920.0,,Medium (25-99),most white,0,"[0.19, 0.24)",#a8596d
"1, 159 Townsend Street, Boston, MA, 02121",Boston,Boston,MA,42.31731,-71.08799,1,1701822153.4023373,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\29.geojson.gz,D,0.9695173581710416,0.4727646858371124,7852.654676019814,2.0,40227.0,0.6755102040816326,36071.0,Low,Medium (25-99),least white,0,"[0.95, 1.0)",#a8596d
"408, 8 Garrison Street, Boston, MA, 02116",Boston,Boston,MA,42.34615,-71.07964,1,1701821789.3036697,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\3.geojson.gz,D,0.4143331751305173,1.101876851293612,8417.057824827723,4.0,-7773.0,0.8874488403819918,84071.0,,Medium (25-99),integrated,0,"[0.38, 0.43)",#a8596d
"1, 211 W Canton Street, Boston, MA, 02116",Boston,Boston,MA,42.34526,-71.07685,1,1701822164.919005,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\30.geojson.gz,D,0.5218945487042002,0.9611392172796142,12765.083674610143,3.0,2965.0,0.9057239057239056,73333.0,,Medium (25-99),integrated,0,"[0.52, 0.57)",#a8596d
"26, 26 Myrtle Street, Boston, MA, 02130",Boston,Boston,MA,42.31465,-71.11627,1,1701822183.2471025,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\31.geojson.gz,B,0.2143628509719222,2.101509869197096,5242.775613733128,3.0,-84043.0,0.951058201058201,160341.0,Upper Income,Medium (25-99),most white,0,"[0.19, 0.24)",#a8596d
"1, 66 Clarkson Street, Boston, MA, 02125",Boston,Boston,MA,42.30799,-71.06753,1,1701822195.1225264,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\32.geojson.gz,C,0.9486607142857144,,8694.639599425533,2.0,,0.9446428571428572,,,Medium (25-99),least white,0,"[0.9, 0.95)",#a8596d
"3, 23 Wenham Street, Boston, MA, 02130",Boston,Boston,MA,42.29609,-71.11483,1,1701822206.4281237,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\33.geojson.gz,C,,,,,,,,,Medium (25-99),,0,,#a8596d
", 55 Brown Avenue, Boston, MA, 02131",Boston,Boston,MA,42.28151,-71.12253,1,1701822217.4668727,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\34.geojson.gz,C,0.8009302325581396,0.6225589137329943,6791.804345491189,3.0,28798.0,0.8281853281853282,47500.0,,Medium (25-99),least white,0,"[0.76, 0.81)",#a8596d
", 14 Greenwich Street, Boston, MA, 02120",Boston,Boston,MA,42.335678,-71.083492,1,1701822234.9350128,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\35.geojson.gz,D,0.8246753246753247,0.4475870927154053,10180.37586174332,3.0,42148.0,0.8211009174311926,34150.0,Low,Medium (25-99),least white,0,"[0.81, 0.86)",#a8596d
", 5 Lesher Street, Boston, MA, 02131",Boston,Boston,MA,42.292686,-71.122319,1,1701822245.0538037,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\36.geojson.gz,C,,,,,,,,,Medium (25-99),,0,,#a8596d
"78, 78 Garfield Avenue, Boston, MA, 02136",Boston,Boston,MA,42.246047,-71.120352,1,1701822256.83663,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\37.geojson.gz,C,0.8217734855136084,1.132074235235524,4782.67989636827,3.0,-10077.0,0.940379403794038,86375.0,,Medium (25-99),least white,0,"[0.81, 0.86)",#a8596d
