address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"79, Harvard Avenue, Boston, MA, 02136",Boston,Boston,MA,42.25917,-71.12216,2,1701823377.4849205,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\122.geojson.gz,C,0.813953488372093,0.8648981624682167,5272.580130956177,3.0,10308.0,0.9407582938388626,65990.0,,Blazing (≥200),least white,0,"[0.81, 0.86)",#7b89a1
"20, Saint Brendan Road, Boston, MA, 02124",Boston,Boston,MA,42.28056,-71.05111,2,1701823711.7707105,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\155.geojson.gz,C,0.1847246891651865,0.4101418123672966,1867.5684954795224,3.0,45005.0,0.7681992337164751,31293.0,Low,Blazing (≥200),most white,0,"[0.14, 0.19)",#7b89a1
"65, Bay Street, Boston, MA, 02125",Boston,Boston,MA,42.310392,-71.054391,2,1701823744.4758098,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\158.geojson.gz,,0.3963963963963964,,1915.1744505376005,3.0,,0.6369426751592356,,,Blazing (≥200),most white,0,"[0.38, 0.43)",#7b89a1
"251, Orient Avenue, Boston, MA, 02128",Boston,Boston,MA,42.39169,-71.01007,2,1701823773.0111866,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\161.geojson.gz,C,0.7006158218853624,0.6327033474009803,7416.906752863468,2.0,28024.0,0.945827232796486,48274.0,,Blazing (≥200),least white,0,"[0.67, 0.71)",#7b89a1
"776, Boylston Street, Boston, MA, 02199",Boston,Boston,MA,42.348701,-71.081632,2,1701823827.9277608,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\166.geojson.gz,,0.1922714420358152,1.7333350808671262,11874.251564021351,3.0,-55952.0,0.8814102564102564,132250.0,Upper Income,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"700, Commonwealth Avenue, Boston, MA, 02215",Boston,Boston,MA,42.34936,-71.10402,1,1701821973.8340354,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\17.geojson.gz,,0.4848812095032397,0.4234055938556711,9135.393236257449,3.0,43993.0,0.7147335423197492,32305.0,Low,Blazing (≥200),integrated,0,"[0.48, 0.52)",#7b89a1
"47, Harvard Street, Boston, MA, 02129",Boston,Boston,MA,42.37318,-71.063,2,1701823877.3158891,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\170.geojson.gz,D,0.0404181184668989,2.0420456630580093,11880.712677175785,2.0,-79506.0,0.8544726301735648,155804.0,Upper Income,Blazing (≥200),most white,0,"[0.0, 0.05)",#7b89a1
"113, Sherwood Street, Boston, MA, 02131",Boston,Boston,MA,42.28619,-71.12045,2,1701823266.6252966,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\109.geojson.gz,C,0.426775956284153,0.973629715064615,5927.528674015075,3.0,2012.0,0.9042857142857142,74286.0,,Blazing (≥200),integrated,0,"[0.38, 0.43)",#7b89a1
"108, Rossmore Road, Boston, MA, 02130",Boston,Boston,MA,42.303174,-71.10459,2,1701823896.712931,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\172.geojson.gz,C,0.5550999487442337,0.8668117119714802,6007.679730008529,2.0,10162.0,0.8173719376391982,66136.0,,Blazing (≥200),integrated,0,"[0.52, 0.57)",#7b89a1
"22, Woodglen Road, Boston, MA, 02136",Boston,Boston,MA,42.24382,-71.12127,2,1701823923.307837,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\175.geojson.gz,C,0.8988372093023256,0.6958504810086765,6481.9071881335885,3.0,23206.0,0.8929712460063898,53092.0,,Blazing (≥200),least white,0,"[0.86, 0.9)",#7b89a1
"280, Martin Luther King Jr Boulevard, Boston, MA, 02119",Boston,Boston,MA,42.31876,-71.08331,2,1701823939.550109,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\176.geojson.gz,D,0.9463753723932472,0.469868148575323,8101.43283534059,2.0,40448.0,0.6063268892794376,35850.0,Low,Blazing (≥200),least white,0,"[0.9, 0.95)",#7b89a1
"1368, River Street, Boston, MA, 02136",Boston,Boston,MA,42.254825,-71.127959,1,1701821994.2054095,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\18.geojson.gz,C,0.6617795753286148,1.1615638679912972,4015.159357980485,3.0,-12327.0,0.8400537634408602,88625.0,,Blazing (≥200),least white,0,"[0.62, 0.67)",#7b89a1
